catalogue,pdf_page,printed_page_estimate,priority,inspection_pattern,why_inspect,expected_extractor_behaviour,gw_code_hits,product_labels,dimensions_blocks,code_headers,text_snippet
GEWISS 2025-26,33,32,High,Image-adjacent bordered table,Product photograph/caption beside the table; colour swatches; section rows for rated current.,Sparse-edge trimming must exclude the image column; merged section context must be repeated; swatch values should be routed to visual review.,23,0,0,1,32 IEC 309 HP 60 - LOW VOLTAGE SCREW WIRING 90°PLUGS IP44 Low voltage screw wiring 90° plugs Code No. of poles Rated voltage Colour Frequency Reference h Pack Carton Rated current (A): 16 GW 60 082 2P+E
GEWISS 2025-26,49,48,High,Dense standard product table,Large number of GW codes with dimensions and multi-row headings.,"Stress-test row/column count, dense code recall, header flattening and pack/carton preservation.",56,0,1,1,48 IEC 309 HP IEC 309 HP - LOW VOLTAGE SCREW WIRING 10° ANGLED FLUSH-MOUNTING SOCKET-OUTLETS IP44/IP54 Low voltage screw wiring 10° angled flush-mounting socket-outlets - High Performance Code No. of poles Rated voltage Colour Frequency Reference h Flange dimensions (mm) Pack Carton Rated current (A): 16
GEWISS 2025-26,65,64,Critical,Multi-code output matrix,Two tables; codes occur in internal and right-hand cells; vertical rowspans such as Without cable/With cable.,"Create one occurrence per SKU, repeat shared merged values and preserve output-column meaning.",19,0,0,1,64 IEC 309 MA INPUT OUTLETS Rated current (In) Rated Voltage (Un) Poles Reference h No. 3 socket-outlets Code
GEWISS 2025-26,66,65,High,Narrative plus several adaptor tables,Product tables coexist with explanatory text and related variants.,Detect only table regions and avoid absorbing prose; keep table-specific schemas.,19,0,0,2,"65 IEC 309 PLUGS AND SOCKET-OUTLETS IMPORTANT NOTICE: the range of multiple socket adaptors, adaptors and shunts should be considered an integral part of the electrical system, since they are products suitable only for temporary,trailing installations and connections, and not for permanent applications. Furthermore, the range cannot be used in areas with a fire hazard. INPUT OUTPUT Code INDUSTRIAL"
GEWISS 2025-26,312,311,Medium,Multiple mini-tables and dimensions,Several code headers and more than one dimensions block on one page.,Check table segmentation and prevent nearby product captions from joining tables.,12,1,2,4,"311 FLUSH-MOUNTING ENCLOSURES Kit for sealing lids / fronts of PTC boxes 2 screws with head with through hole Code Description Screw dimension (mm) Pack Carton GW 48 643 Screws nichel-plated brass Ø 4x32 1/100 APPLICATIONS: in areas that can be accessed by unauthorised personnel, it prevents anyone tampering with the system. GW 48 643"
GEWISS 2025-26,403,402,Medium,Accessory mini-tables,Several compact accessory tables and dimensions information.,"Check small-table recall, code-column recognition and duplicate caption handling.",15,1,1,4,402 GW FIT Complementary items Two-way self-adhesive bases in colourless polymer to secure cable ties Code Description Outer dim. LxHxD (mm) Pack Carton GW 52 226 For ties up to 4.5mm 19x3.9x19 100/3000 GW 52 227 For ties up to 5mm
GEWISS 2025-26,503,502,High,Many table blocks on one page,Several technical mini-tables and dimensions blocks.,"Check table numbering stability, batching, checkpointing and natural-schema outputs.",43,0,5,2,502 90 AM PROTECTION Disconnectable fuse-holders Disconnectable fuse-holders Code Rated current Fuse dimension (mm) No. of modules EN 50022 Rated voltage Pack Carton No. of poles: 1P GW 96 206
GEWISS 2025-26,708,707,High,Colour/material SKU lists and repeated mini-tables,SKUs appear in colour-labelled lists and repeated tables; codes may be adjacent to descriptive text.,Check that colour/material context becomes attributes and narrative is not misclassified.,0,0,0,0,"Scan the QR Code and find out all the technical informations. ATTENTION TO DETAIL INNOVATION HIGHLY CUSTOMISABLE Three thematic lines of plates to match perfectly with ChoruSmart devices. A total of 12 colours, all with satin finishes. EGO International was designed as a modern plate and has evolved in the EGO SMART International version, an innovative concept of SMART HOME. The plates can be cust"
GEWISS 2025-26,1028,1027,High,Symbol and multi-table product page,Multiple code headers and symbol-oriented columns.,"Check visual-only/symbol fields, dynamic headers and AI exception routing.",36,1,0,4,1027 SYSTEM SYSTEM Three-way switch 1P - 250V ac Code Description Button key Symbol Rated power of 230V LED lamps No. SYSTEM modules Pack Carton GW 21 559
GEWISS 2025-26,1293,1292,Critical,Catalogue SKU index page,"Index columns include Code, Quantity, Page, Pack/carton and Pallet; this is registry provenance, not a normal product specification page.","Classify as index data, retain page pointers and packaging metadata, and avoid treating index rows as authoritative product attributes.",0,0,0,3,1292 Code Quantity Page Pack/carton Pallet Code Quantity Page Pack/carton Pallet Code Quantity Page Pack/carton
